label,question
fallback,who am i
fallback,do u love music
fallback,do u like to watch movies
fallback,I like to use technical analysis
fallback,I need help teach me how to get ready for the stage
fallback,hi bot who is your friend
fallback,hey bot how is this life like
fallback,what is the fundamental basics
fallback,how to drive
fallback,I do not know how to bake
fallback,I love cooking
fallback,I love drawing
fallback,don't know what to do already
fallback,help is very much needed
fallback,not sure how to even get better
fallback,this is foul plau
fallback,how to play
fallback,what is your father's name
fallback,do  you have parents
fallback,do you have child
fallback,hey hwat can u do to cut paer
fallback,talking gibb is what y
fallback,helo u are what is going on
fallback,I have no idea
fallback,what to put naymore
fallback,think of more stuff to put
welcome,merry xmas bot
welcome,merry christmas to u too
welcome,happy new year
welcome,happy new year to u
welcome,how is everything
welcome,how's everything
welcome,are you fine
welcome,are you ok?
welcome,"I'm fine mate, you alright"
welcome,are you alright today because I am having a nice day
welcome,hey my friend
welcome,hey are you happy today
welcome,hey!
welcome,hello there
welcome,"hi there, bot"
welcome,"hi there, friend"
welcome,hi friend
welcome,hello friend
welcome,what is up my friend
welcome,"my fellow mate, how are you"
welcome,"I am good, how about you"
welcome,what's up mate?
welcome,"what is up, mate"
welcome,hey fellow friend how are you
welcome,hey there I hope you are fine because I am
welcome,hi is all well for you
welcome,hi is everyhting good
welcome,hey is everythign good
welcome,hello is everything good
welcome,hi I need help with
welcome,hi I want to ask
welcome,hello I want to ask
welcome,hello can you help me with
welcome,hey can help me
welcome,hey chatbot can help me
welcome,hi chatbot could you help me with my insurance questions
welcome,hi I just want to ask about insurance
welcome,hi I want to ask about insurance
welcome,hi I just want to ask if you are fine
welcome,hello there what is up
welcome,hey there my friend
welcome,hey friend
welcome,hey fellow mate how do you do
welcome,how you doing
welcome,doing great what about you
welcome,hi folks
welcome,hey folks how do you do
welcome,"how do you do, folks?"
welcome,hi folks.
welcome,hey folks.
welcome,"hey there, fellow folk"
welcome,hi folk
welcome,hi dear folk
welcome,hey chatbot want to chat with me
welcome,helloo chatbot
pd_physical,if I get total paralysis in my limbs do I get claims for it?
pd_physical,if get toal paralysis how do I get claims for it
pd_physical,if I get total paralysis can claim or not
pd_physical,I want to claim for tpd
pd_physical,I want to get claims for having tpd
pd_physical,if I got tpd I want to claim can or not
pd_physical,"if have tpd, want to claim,can?"
pd_physical,can claim for tpd?
pd_physical,can get claims if get tpd
pd_physical,total permanent disability how to get claims for it
pd_physical,if paralyse fully already how to claim
pd_physical,paralyse fully already
pd_physical,total paralysis of body how get claims
pd_physical,for the tpd can claim or not
pd_physical,if want to claim how is process like for tpd
pd_physical,where to find information about whether I can claim for tpd
pd_physical,if got tpd can claim. Informaiton from where?
pd_physical,how does one claim for tpd?
pd_physical,I just want to check if I can claim if get tpd
pd_physical,"want to get claim for tpd, can claim or not"
pd_physical,can claim or not? For tpd
pd_physical,can claim or not if I get tpd
pd_physical,can claim? If I have tpd
pd_physical,can claim? If get total permenent disability
pd_physical,total permanent disability how claim?
pd_physical,can claim if have total permanent disability?
pd_physical,just want to check if have tpd how to claim
pd_physical,isit possible to claim for tpd
pd_physical,isit possible to claim if I have tpd
pd_physical,total perm disability possible to claim or not
pd_physical,possible to claim for total perm disability
pd_physical,possible to claim for tpd
pd_physical,possible to claim? For total permanent disability
pd_physical,for total perm disablity can get claims for it?
pd_physical,want to get claims for toal permanent disability
pd_physical,want to get claims if fully paralysed
pd_physical,fully paralysis in body
pd_physical,full paralyssi in body already
pd_physical,4ever cannot move can claim
pd_physical,if I forever cannot move how claim
pd_physical,if 4ever cannot move how to claium
pd_physical,what is teh procedure like if I claim for tpd
pd_physical,the tpd claiming process is like how one
pd_physical,the tpd claim procedure is like how want
pd_physical,want to get claim for tpd.
pd_physical,what the process of claim for tpd
pd_physical,what the procedure like for claiming total permanent disability
pd_physical,the total permanent disablity is how to get claims for it?
pd_physical,toal permanent disability claimable or not
pd_physical,isit claimable for tpd
pd_physical,claimable for tpd?
pd_physical,claimable if get total permanent disabiloity?
pd_sight,sight process like how one to claim
pd_sight,claimable for loss of sight
pd_sight,claimable if lost one eye ?
pd_sight,claimable if my eye canot see 4ever?
pd_sight,claimable if get one sight vision gone
pd_sight,claimable if got one eye vision gone
pd_sight,claimable if got 2 eyes sight gone
pd_sight,2 eyes vision disappear can claim or not
pd_sight,2 eyes vision no more can cliam?
pd_sight,how to get claim if got 2 vision gone
pd_sight,how to get cliams if 1 sight gone
pd_sight,hoiw to claim if 1 sight gone
pd_sight,how to claim if one side of eye no more vision
pd_sight,can claim if one side of eye no more vision
pd_sight,how to get claims if 2 eye side vision no more
pd_sight,want to get claims for 2 eye gone
pd_sight,no more vision 4ever.
pd_sight,want to claim for no more vision forever
pd_sight, want to get claims for 4ever no more vision
pd_sight,no more vision 4ever still can get claims or not
pd_sight,want to check if can claim if blind forever
pd_sight,"blind person already, how?"
pd_sight,want to get claims for being blind
pd_sight,being diagnosed as blind can claim
pd_sight,claimable for blind person?
pd_sight,how does one claim for being blind
pd_sight,how dies one claim for loss of sight
pd_sight,how to claim for lost of 2 eyes
pd_sight,how to claim for loss of 1 eye
pd_sight,how to get claims for losing 2 sight
pd_sight,how to get claims for loss of vision
pd_sight,no more vision already
pd_sight,forever cannot see and is blind
pd_sight,blind person.
pd_sight,am a 1 eye person
pd_sight,can only see with one eye
pd_sight,can only see with 1 eye
pd_sight,eye only have 1
pd_sight,only can see eith 1 eye
pd_sight,cannot see with 2 eyes
pd_sight,2 eyes no more sight
pd_sight,no more vision for my eyes
pd_sight,no more sight anymore
pd_sight,eye sight gone already
pd_sight,eyesight is no more
pd_sight,no more sight in 1 eyes
pd_sight,2 sights gone
pd_sight,unable to see the world anymore
pd_sight,no eyesight
pd_sight,loss of eyesight
pd_speech,unable to talk anymore
pd_speech,cannot be a talkative person already
pd_speech,I want to get claims for being unable to speak
pd_speech,want to get claims for being mute
pd_speech,I mute already
pd_speech,am a mute person
pd_speech,no more voice for me to talk
pd_speech,I cannot talk anymore
pd_speech,what to do If I cannot talk
pd_speech,what to do I no more speech
pd_speech,no more pseech ability..
pd_speech,how isit like to claim for no speech
pd_speech,no bility to talk
pd_speech,loss the ability to speak.
pd_speech,how to claim if lost the ability to talk
pd_speech,no more chance for me ti talk anymore
pd_speech,can't talk
pd_speech,"can't speak, how claim"
pd_speech,how to claim if no more speak ability
pd_speech,how to claim if cannot speak anymore
pd_speech,I just want to know how to claim if cannot speak
pd_speech,how to claim if no spech already
pd_speech,"no speech, how cliam?"
pd_speech,have dysathria then become anarthria
pd_speech,anarthria how to claim
pd_speech,anarthira can claim?
pd_speech,want to get claims for anarthria
pd_speech,how do I get claims for having anarthria
pd_speech,no muscle to speak
pd_speech,speech disorder cannot speak
pd_speech,cannot articulte speech
pd_speech,no articulate speech
pd_speech,unale to articulate
pd_speech,unable to articulate words
pd_speech,no more ability to articulate
pd_speech,cannot never articulate 4ever
pd_speech,can never articulate anymore
pd_speech,lost the ability to articulate
pd_speech,loss of articulation skill
pd_speech,cannot speech anymore
pd_speech,speak ability lost
pd_speech,speak ability loss
pd_speech,speak ability gone
pd_speech,speech ability lost
pd_speech,speeach is no more
pd_speech,no more speaking ability
pd_speech,no more articulation from me how to claim
pd_speech,how get claims for no more speech
pd_speech,"if no more speech, can claim?"
c_motorcycling,want to get claims for motorcyling accident
c_motorcycling,injury from the ride of motor
c_motorcycling,injury from riding pilion
c_motorcycling,pillioning got injured how can get claim?
c_motorcycling,claims for injury while pilion?
c_motorcycling,wnt to get claim for injrued during motorbike
c_motorcycling,motorbike injury
c_motorcycling,motorcycling then get injured
c_motorcycling,motorcycling then pass away
c_motorcycling,pass away while motorcyling
c_motorcycling,rip while motorcycling
c_motorcycling,dead while pillion
c_motorcycling,rip while pillioning
c_motorcycling,pass away from accident in motorcycle
c_motorcycling,pass away from injury by motorbike
c_motorcycling,ride motorbike until die
c_motorcycling,ride motorbike until pass away
c_motorcycling,ride motorcycle until rip
c_motorcycling,rip from riding pillion
c_motorcycling,rip from pillioning
c_motorcycling,pass away from pillioning
c_motorcycling,got claim if get rip from pillion
c_motorcycling,if die from pillioning can claim
c_motorcycling,motorbike pillion can claim if got injury
c_motorcycling,rip then can claim if got motor accident?
c_motorcycling,how to get claims if die from motorbike
c_motorcycling,how to get claims if dead while riding motorcycle
c_motorcycling,how to get claims if rip while motorcycling
c_motorcycling,want to kow how to get claims if injured on motorbike
c_motorcycling,how to get claims if injured on motorcycle
c_motorcycling,motorcycle then injured myself
c_motorcycling,ride pillion then got injured
c_motorcycling,got injury while riding pillion
c_motorcycling,motorbike pillion injured how claim?
c_motorcycling,I want to get claims for pillioning injury
c_motorcycling,I want to get claims for dead while riding motorbike
c_motorcycling,ride motorbike then die
c_motorcycling,ride motorbike then got injured
c_motorcycling,ride motorcycle and rip
c_motorcycling,rip from riding motorcycle
c_motorcycling,dead while riding motorbike
c_motorcycling,how to get claims if ride motor and die
c_motorcycling,how to get claims if ride pillion and injure
c_motorcycling,injure myself while riding motorbike  can claim?
c_motorcycling,got accident while riding motorbike
c_motorcycling,get into accident while pillion can get claims or not
c_motorcycling,"I want to get claims for injury in pillion, can?"
c_motorcycling,get claims for riding motorbike and get injured
c_motorcycling,injured myself while riding motorbike
a_miscarriage,I wnat to get claims for miscarriage of fetus
a_miscarriage,got claims for miscarrying
a_miscarriage,want to get claims for miscarriage.
a_miscarriage,what to do if my fetus die? Can claim?
a_miscarriage,can I get claim if fetus die
a_miscarriage,fetus die already can claim or not
a_miscarriage,loss of pregnancy can claim or not?
a_miscarriage,loss of fetus claimabe?
a_miscarriage,want to know ifd can claim for miscarriage
a_miscarriage,fetus lost how to claim
a_miscarriage,miscarry how to claim?
a_miscarriage,check for claims of miscarriage
a_miscarriage,miscarriage claim how
a_miscarriage,fetus rip how to claim
a_miscarriage,I want to claim for fetus rip
a_miscarriage,I want to claim for fetus dead
a_miscarriage,I want to claim for loss of fetus
a_miscarriage,I want to claim for loss of pregnancy
a_miscarriage,I wnt to claim for loss of pregnant
a_miscarriage,I want to claim for miscarriage
a_miscarriage,the miscarriage can claim or not
a_miscarriage,I gtet misscarriage
a_miscarriage,I got miscarroage how?
a_miscarriage,want to get claims for miscarriat
a_miscarriage,miscarry can claim or not?
a_miscarriage,want to get claims for having a miscarriage
a_miscarriage,want to get claims if got miscarriage
a_miscarriage,miscarriage can claim or not?
a_miscarriage,want to claim if have miscarriage
a_miscarriage,want to claim if lost fetus
a_miscarriage,lost of fetus how the process of claiming
a_miscarriage,how is the process of claiming like for miscarriage
a_miscarriage,miscarriage process claim is how
a_miscarriage,process of cliam miscarriage how
a_miscarriage,how to get claim for miscarriage
a_miscarriage,I want to get claims for miscarriage
a_miscarriage,miscarry can claim?
a_miscarriage,I want to get claims for having loss of my fetus
a_miscarriage,fetus rip can claim or not
a_miscarriage,fdetus dead already can claim?
a_miscarriage,if fetus die can claim?
a_miscarriage,loss of pregnancy how the process of claiming
a_miscarriage,procedure to claim for loss of pregnancy
a_miscarriage,no more fetus how to claim
a_miscarriage,claimable for loss of pregnancy?
a_miscarriage,claimable for loss of fetus
a_miscarriage,claimable for lost pregnancy
a_miscarriage,claimable for miscarriage?
a_riot,civil commotion injury the claims can or not
a_riot,civil commotion then injured myself
a_riot,got riot then got injured
a_riot,got strike then got scrape myself
a_riot,hijakc got me injured
a_riot,hijack then I rip
a_riot,riot then I died then how
a_riot,riot then I rip
