label,question
payment_mode,card payment?
payment_mode,how did I pay?
payment_mode,what mode of pay I used
payment_mode,which mode of paying I use
payment_mode,what kind of payment mode I used
payment_mode,what kind of paying system was used
payment_mode,did I use giro to pay my fees
payment_mode,what kind of payment method was it
payment_mode,did I use some giro payment
payment_mode,did I pay by cash or something else
payment_mode,was the payment mode I chose giro
payment_mode,did I choose some giro payment
payment_mode,hi bot what payment method did I use
payment_mode,hey bot which method did I use to pay
payment_mode,what is my payment mode
payment_mode,what payment mode to pay
payment_mode,which payment mode
payment_mode,which option did I decided to utilise
payment_mode,utilise which type of payment
payment_mode,what payment mode I use
payment_mode,which did I use to pay with
payment_mode,what did I use to pay with
payment_mode,how I pay my plans
payment_mode,how did I pay for my insurance
payment_mode,how did I pay my insurance
payment_mode,how I pay my rider cost
payment_mode,how did I pay for my rider
payment_mode,rider payment mode
payment_mode,insurance payment mode
payment_mode,what payment option did I opt for
payment_mode,how did I make my payment
payment_mode,what payment mode did I use
payment_mode,wat payment mode did I use
payment_mode,which type of payment style am I using
payment_mode,what kind of payments am I using
payment_mode,what payment method did I use
payment_mode,what kind of payment method
payment_mode,payment method?
payment_mode,payment mode?
payment_mode,paying style is what
payment_mode,what's the paying style
payment_mode,whats my paying style
payment_mode,what is the payment style
payment_mode,the method I use to pay
payment_mode,the method I used for payment
payment_mode,paying method how
payment_mode,payment style?
payment_mode,payment mode that I used
payment_mode,what kind of payments do I use to pay
payment_mode,what are the payment mode that I used
payment_mode,which payment mode did I use
payment_mode,which payment mode did I use to pay
payment_mode,what kind of payment mode
payment_mode,what are the ways I can make payment
payment_mode,my payment mode
payment_mode,what my payment mode
payment_mode,what is my payment mode?
payment_mode,what kind of payment I use to pay
payment_mode,what are the type of payment that I used
payment_mode,what payment mode I use to pay
payment_mode,what payment mode my insurance
payment_mode,what is the payment mode of my insurance
payment_mode,what are the modes of payment
payment_mode,what is the mode of payment I use to pay
payment_mode,what is the payment mode I use to pay
payment_mode,what is the payment mode I used
payment_mode,what mode of payment
payment_mode,mode of payment
payment_mode,the payment mode
payment_mode,payment mode that I pay
payment_mode,payment mode that I paid using
payment_mode,payment mode that I use to buy
payment_mode,what is my payment method
payment_mode,what is my payment style
payment_mode,what is my payment approach
payment_mode,payment approach is what
payment_mode,what is the way I pay
payment_mode,what way I use to pay
payment_mode,what is my payment way
payment_mode,what is my way of paying
payment_mode,what is my way of payment
payment_mode,how did I pay
payment_mode,what selection did I say I am going to pay
payment_mode,what method did I choose
payment_mode,what method did I say I was going to use
payment_mode,which way of paying am I using
payment_mode,how will I be paying for the insurance
payment_mode,payment method technique is what
payment_mode,hwat is the pament techcnique I used
payment_mode,what is the technique that I used for payment of insurance
payment_mode,how will I be paying for the plans
payment_mode,how will I be paying for the product
payment_mode,what kind of method am I using to pay for the plans
payment_mode,what are the methods used to pay
payment_mode,what kind of method used to pay
payment_mode,which method did I use
payment_mode,which method of payment
payment_mode,method of paying
payment_mode,method of payment
payment_mode,the approach that I used to pay
payment_mode,kind of method I used
payment_mode,did I use giro to pay
payment_mode,what method did I say I was using
payment_mode,giro payment or what
payment_mode,isit giro payment
payment_mode,was the option giro or something else
payment_mode,was the payment option choosen giro
payment_mode,was the payment option giro
payment_mode,did I use giro as my preferred method of payment
payment_mode,what was my perferred way of paying
payment_mode,which was the method that I chose to pay using
payment_mode,what was the preferred way of payment
payment_mode,which was the prefered ways of paying 
payment_mode,what are the method of payment
payment_mode,"hello bot, how are you? I would like to ask what payment method I used"
payment_mode,what is my payment technique
payment_mode,payment technique is what?
payment_mode,payment mode for thr insurance is what
payment_mode,mode of payment for me insurnace is what
payment_mode,payment mode of insurance
payment_mode,mode of the payment of insurance
payment_mode,insurance mode payment
payment_mode,mode payment insurance
payment_mode,mode payment for insurance
payment_mode,mode payment of insurace?
payment_mode,what is the way I always make my payment
insurer,which insurance company
insurer,name of the company
insurer,insurier for the insurance
insurer,my plan's insureir
insurer,plan's insurier
insurer,what is my paln insurer
insurer,who is the insurer for my plans
insurer,which ompany I buy from
insurer,what the company nme
insurer,my plan's company name is what
insurer,my plan's company name?
insurer,what's the name for my plan company
insurer,insurance insurier is who
insurer,who is my insurier
insurer,who's my insureir
insurer,name of the insurance's company
insurer,what is the name of the company that I bought my insurance from
insurer,what's the name of the company that I bought my insurance from
insurer,the insurance is buy from which company
insurer,the inusrance is by which company
insurer,the insurance is by which company
insurer,insurer name 
insurer,my product's insurer
insurer,my plan's insurer
insurer,insurer
insurer,say insurer
insurer,tell me my insurer of the plans that I bought
insurer,tell me the insurer of the products
insurer,tell me the insurer of my products
insurer,tell me the insurer of my insurance plans
insurer,the plans I buy from where
insurer,the comapyn name of the insurance
insurer,the insruance the company name
insurer,would you tell me what is the insurer name
insurer,could u tell me what is the insurer
insurer,could you tell me who is my insurer
insurer,who is my insurer tell me
insurer,say the insurer name of my plans
insurer,company name of the insurance
insurer,is my insurance from aviva
insurer,company of my insurance
insurer,company that I bought my products from
insurer,the name of the insurer of my products
insurer,the name of my insurer
insurer,the name of the insurer that I buy from
insurer,which company did I actuallly buy my products from
insurer,I buy from which company
insurer,who is my insurer
insurer,who is the insurer
insurer,the company of the plans
insurer,the insurance product come from where
insurer,the insurance company name
insurer,tell me the insurace company nmae
insurer,what is the name of the insurer
insurer,what is the ame of the company that  I bought from
insurer,my plans from which company
insurer,the name of company
insurer,namme of the company of my products
insurer,name of the company of my insurace
insurer,the name of company?
insurer,what's the name of the insurer
insurer,what's the insurer
insurer,who's the insurer
insurer,who is the insurer name
insurer,insurer name is hwat
insurer,how to know which is my insurer
insurer,who is the insurer protectign me
insurer,who did I buy my plans from
insurer,who is my insurer of the insurance
insurer,what is my rider insurer
insurer,who is my insurance plan insurer
insurer,what company did I buy insurance from
insurer,who did I purchase my plans from
insurer,what is the company name I purchase from
insurer,what company I purchase from
insurer,which is the company that I buy from
insurer,which company did I purchase the plan
insurer,from which company did I purchase from
insurer,from which insurer was my plan from
insurer,from which insurer was the plan
insurer,where was my plans purchased from
insurer,where was my plan purchased
insurer,where were my plans purchased
insurer,where did I buy my insurance from
insurer,where was the insurance purchased
insurer,which company is the plan from
insurer,which company did I buy the insurance from
insurer,which insurance company I buy from
insurer,which insurance company did I buy from
insurer,from what company I buy
insurer,from where did I buy my plans
insurer,from where did I purchase the insurance
insurer,from what type of company
insurer,what type of company I use to buy from
insurer,what type of company did I buy from
insurer,what company did I purchase from
insurer,say which company
insurer,tell me what company
insurer,company name
insurer,what insurer name
insurer,what is the insurer name
insurer,who is my insurer that I buy from
insurer,tell me who insuring me
insurer,say the insurer name
insurer,insurer's name
insurer,company's name
insurer,say the company name
insurer,tell me the company name
insurer,tell me my insurer
insurer,tell me what's the company name
insurer,tell me what company did I buy from
insurer,say the name of the company that I bought from
insurer,say the name of the company that I purchase my insurance from
insurer,tell the name of the insurer that I buy from
insurer,tell me my company name
insurer,who is my insurer that my insurance was bought
insurer,tell me the insurer name
insurer,where did I purchase the plans
insurer,can you tell me where I buy from
insurer,tell me the company I buy from
insurer,tell me the insurer of my plans
insurer,tell me who is the insurer
insurer,tell me who is my insurer
insurer,say out the company name
insurer,say the insurer of my plans
insurer,name of inusrer
insurer,name of insurer
insurer,name of my insurer
insurer,name of the plan's insurer
insurer,say the insurance insurer
insurer,say my plans insurer
insurer,say my insurance insurer
insurer,who is my insurer name
insurer,what is my insurer name
insurer,what is the insurer of my plans
insurer,who is the insurer of my plan
insurer,who is the insurer of my insurance
insurer,who is the insurer of my product
insurer,give me specific company name
insurer,give me the specific insurer name
insurer,can tell me which company
insurer,can tell me what company
insurer,from which company did I buy my plas
insurer,from which company I purchase
insurer,the company name that I purchased the product from
insurer,the company name that I purcahsed the plans from
insurer,the name of the company that I buy the insurance from
insurer,the name of the copmany that I decide to buy from
insurer,which was the company that I buy my plans from
insurer,what kind of company I buy from
insurer,which type of company I use for my insurance
insurer,the product is from which company
insurer,the insurance is from where
insurer,the insurance is from which company
insurer,the company of my insurance
insurer,the insurance company is what
insurer,what is the insurance company
insurer,what is the insurer name?
insurer,which company I buy from
insurer,the compant that I pruchased from
insurer,company that I purchase the product from
insurer,get the company insurance name
insurer,get the insurer name
insurer,where did I purchse my products from
insurer,whr did I purchase from
insurer,whr was the plans from
insurer,which company did the plans come from
insurer,which company did the insurance come from
insurer,which company did my plans come from
insurer,the comoany name is what
insurer,is the company name aviva
insurer,is my company name prudential
insurer,did I buy from axa
insurer,which company is the plan I buy from
insurer,which company did I buy the plan from?
insurer,what's the company name aviva?
insurer,how to know which company I buy from
product_name,what is my product name?
product_name,wha't the name of product
product_name,what's the name of product
product_name,what's the product name
product_name,prod name of insuranc
product_name,prod name of my plans
product_name,name of insurance that I buy
product_name,name of the plans that was bought
product_name,name of the insurance plan that I buy
product_name,name of the product I bought
product_name,name of the insruance
product_name,name of the insurance
product_name,hey what's my insurance product name
product_name,the name of my product is what
product_name,what is the naming for my product
product_name,prodcut name is what
product_name,what's the prod name
product_name,prod name is what
product_name,name of the insurance that I buy
product_name,what is the insurance name?
product_name,what is the name of the insurance?
product_name,say the names of the insurance that bought
product_name,what are the insurances that I buy
product_name,which insurance did I buy
product_name,which plans did I buy
product_name,which plan did I buy from axa
product_name,which product did I buy
product_name,which plan did I purchase
product_name,which insurance did I purchase
product_name,what insurance did I purchase
product_name,the name of the insurance that I bought
product_name,the name of the plans that I buy
product_name,tell me the name of the plan I bought
product_name,tell me the product name
product_name,name of the plans that were bought
product_name,what are the products that I have
product_name,what are the products I have?
product_name,what name of the products I have
product_name,names of the products
product_name,my products
product_name,tell me my products that I buy
product_name,what is the plan that Is protecting me right now
product_name,what are the products I have
product_name,what product do I have
product_name,what is my product name
product_name,what products did I buy
product_name,which product did I purchase
product_name,what insurance did I buy
product_name,what are the insurance that I bought
product_name,which are the plans I buy
product_name,what plans I purchased already
product_name,what are the plans I purchased
product_name,which is the plan that I purchase
product_name,what is the name of the plan I ourchased
product_name,which are the plans that I purchae
product_name,what product cover me
product_name,what plans I have
product_name,which product covering me now
product_name,which is the product that covers me
product_name,what is my plan name
product_name,what's the plan name
product_name,what are my plans
product_name,which products I have
product_name,which plans I have
product_name,what are the plan that I have now
product_name,which is the plan that I have now
product_name,what plan name
product_name,plan name
product_name,say the product I have
product_name,tell me my products
product_name,tell me the names of my product
product_name,tell me the name of the product that I bought
product_name,say the products name
product_name,say the products' name
product_name,say the name of the plans that I buy.
product_name,say the insurance name
product_name,say the insurance name that I buy
product_name,list out the names of the insurance that I bought
product_name,say out the names of the insurance
product_name,list out the insurance that I buy
product_name,list the insurance plans name
product_name,list the names of the insurance
product_name,tell me the name of the product that I buy
product_name,products name?
product_name,name of my products
product_name,name of all my plans
product_name,name of the plans I have
product_name,name of the insurance I buy
product_name,name of the insurance I bought
product_name,hello there. i very good how are you i want to know what insurance I buy
product_name,"from the company, I pruchase what"
product_name,what product did I purchase from prudential
product_name,the name of insurance I buy from aviva
product_name,what product did I buy from axa
product_name,which product did I purhcase from axa
product_name,product name I buy from aia
product_name,aia which product
product_name,which product of aia
product_name,what insurance I buy from prudential
product_name,what insurance I buy from aviva
product_name,which insurance I buy from aia
product_name,axa I buy what product
product_name,which product I buy form axa
product_name,the insurance name that I bought from aia
product_name,"hi bot, how are you, I am fine. I would like to ask what product name I have"
product_name,hey chatbot. How are you? I am good. I just want to ask the product name I have
product_name,what is my insurance product name? bot please answer me
product_name,chatbot. Tell me the insruance name
product_name,"chatbot, tell me the product name"
product_name,"hi chatbot, what is the insurance I bought"
product_name,"good morning chatbot have a nice day, which insurance did I buy"
product_name,hello chatbo! What insurance did I actually buy
product_name,the product name is what
product_name,good day chatbot what product name did I buy
product_name,"good day bot, what is the name of the insurance I bought"
product_name,"good evening bot, what is the name of the insurance bought"
product_name,"good morning bot, what is the name of the plans purchased"
product_name,the plans name that I purchased
product_name,what's the name of my plans
product_name,what's the name of the insurance?
product_name,what is the name of the insurance bought
product_name,what was the product called again
product_name,product name is what again
product_name,wat is the name of my product
product_name,what's the product name?
product_name,what was my insurance called again
product_name,what was my insurance called
product_name,what was the plans called
product_name,what were the plans called
product_name,which plan name
product_name,which product name
product_name,tell me my insurance names
product_name,tell me the name of my insurances
product_name,the isnurance name is what
product_name,what name is the prodcut I bought
product_name,I buy which product?
product_name,"good day bot, how are you. What is my insurance name"
product_name,give me the product name
product_name,I want you to tell me my insurance
product_name,I want to know all the isnruane that I have
product_name,what is my product of insurance
product_name,produc insurance name
product_name,insuracne product name
product_name,insuracne name
product_name,naem of insurance
product_name,the product name of the insurance where to find
product_name,where to find the product name of the insurance
product_name,what insurance do I have
product_name,what's the plan name that I bought
product_name,what Is the plan that I bought
product_name,which plan I buy
product_name,which product did I buy from aviva
product_name,what product name
product_name,what is the insurance name
product_name,what is the name of my insurance
product_name,what is the name of yhe plans that I bought
product_name,what is the name of the plan that I pruchased
product_name,name of the product?
product_name,what is the product name 
product_name,what name is my product
product_name,the product's name?
product_name,what my plan name
product_name,plan name is what
product_name,I buy which plan
product_name,which plan did I buy
product_name,what is the plan name
product_name,what is my insurance name
product_name,what is yhe name of the insurance that I buy
product_name,purchased which insurance
product_name,hello there i very good how are you i want to know my product name
product_name,hello there i very good. how are you? i want to know my product name
product_name,tell me the plans of the products that I purchased
product_name,product name
payout_freq,is my pay out for life
payout_freq,payout hoe many times to me
payout_freq,how many times will my pay out be
payout_freq,what is the payout freq
payout_freq,freq of payout is how many times
payout_freq,how many times in a year I can get my payouts?
payout_freq,what is the freq I sm getting my payout
payout_freq,usually when will have payout
payout_freq,what is the payout frequency
payout_freq,frequency of the payouts
payout_freq,frequency of the pay out
payout_freq,frequency of the pay outs
payout_freq,what is the frequency of payout
payout_freq,what is the frequency of the pay out
payout_freq,what frequency will the payouts be paid
payout_freq,what frequency will u be paying me
payout_freq,what is my payout freq
payout_freq,when are my payout given
payout_freq,how many times a year I receive payout
payout_freq,when would one receive their payout
payout_freq,when will I be able to receive my insurance payout
payout_freq,what is the frequency of my payout
payout_freq,what are the times of payout given
payout_freq,how many payout given to me
payout_freq,what are the usual payout frequency
payout_freq,hi what's my payout frequency like?
payout_freq,hello what is the payout frequency
payout_freq,my payout freqeucny is what?
payout_freq,what paoyut frequency
payout_freq,what the payout freq
payout_freq,how to know my payout frequency
payout_freq,what payout frequency
payout_freq,how many rimes will you pay me
payout_freq,is the payout for life
payout_freq,isit for life the payout
payout_freq,how many times the insurance paying me
payout_freq,frequency of insruance paying me
payout_freq,what is the freq of the insurance paying me
payout_freq,how many times can my plans pay me
payout_freq,what are the amount of itmes insurance pay me
payout_freq,the no of times a payout in a year
payout_freq,times of payout I have in a year
payout_freq,times of pay out I have
payout_freq,usually when payout come
payout_freq,what is the usual frequency of payout
payout_freq,when is the payout
payout_freq,when would my payout be
payout_freq,when is the payout date
payout_freq,what is the payout date
payout_freq,when will I be able to get my payout
payout_freq,when will I get my payout
payout_freq,what date will I receive my payout 
payout_freq,the payout which date
payout_freq,when will I get paid
payout_freq,when will the insurance pay me
payout_freq,frequency of the insurance paying me
payout_freq,when will I get paid after I claim?
payout_freq,the payout is when
payout_freq,when is the payout going to be
payout_freq,when will you be paying me
payout_freq,date of paying me
payout_freq,date of the payout
payout_freq,date of payout
payout_freq,what is the payout date?
payout_freq,when is the payout date?
payout_freq,what is the payout frequency like
payout_freq,how frequently do I get payment
payout_freq,how consistently is my payment going to be like
payout_freq,how consistent is my payment going to be
payout_freq,hwo consistlent is my payment?
payout_freq,how consistent are my payments
payout_freq,how frequently are you paying me
payout_freq,how frequently is my product paying me
payout_freq,monthly installment or yearly
payout_freq,yearly installment
payout_freq,regular schedule of the payout
payout_freq,installment of my payout is monthly or yearly
payout_freq,frequency of the payout instalment
payout_freq,isit yearly installment or monthly installment
payout_freq,is the frequency a monthly installment
payout_freq,what is the regularly schedule of the payout
payout_freq,when would I be getting my payout
payout_freq,what is the payout freq like
payout_freq,wat is the payout frequency like
payout_freq,the payout frequency
payout_freq,payout frequency
payout_freq,freqeucny of payout
payout_freq,payout is monthly or yearly
payout_freq,year payout or monthly
payout_freq,yearly or monthly payout
payout_freq,did i choose to receive my payout monthly
payout_freq,what was the option that I decided to get my payouts
payout_freq,what was the choice I chose for my payouts
payout_freq,what payout freq did I choose
payout_freq,what payout frequency did I choose
payout_freq,which payout frequency monthly or yearly I choose
payout_freq,I getting the pay monthly or yearly
payout_freq,how am I getting my payout
payout_freq,"currently, I getting the pay monthly or annual"
payout_freq,is the insurance going to pay me by month
payout_freq,is the insurance going to pay me per year
payout_freq,is the plans going to pay me per annually
payout_freq,"after claiming, am I getting paid annualy"
payout_freq,is the payment from my plans going to be monthly
payout_freq,are the payment after claiming going to be per year
payout_freq,is the payment after claiming going to be by month
payout_freq,is the payment after claiming going to be per month?
payout_freq,after I claim I going to get my pay yearly or monthly
payout_freq,is the payment from insurance going to be yearly
payout_freq,when are the payouts usually
payout_freq,when will I receive payout
payout_freq,payout receive date
payout_freq,payout receive date is when
payout_freq,when the payout goin to happen
payout_freq,when the payout going to be
payout_freq,when the payout be
payout_freq,what date payout giving me
payout_freq,what date payout the payout
payout_freq,what daate I receive payout
payout_freq,datte I recevie payout
payout_freq,payout start and ending date is when
payout_freq,how to find the payout frequenc
payout_freq,where can I find information about payout frequency
payout_freq,payout daate
payout_freq,datee of payout
payout_freq,what frequency is the payout supposed to be
payout_freq,what frequency will the payouts be
payout_freq,the frequency of the payouts
payout_freq,tell me the payout frequency
payout_freq,tell me the pay out frequency say the frequency of my payout
payout_freq,tell me the frequency of the payouts
payout_freq,tell me what the frequency of the payout is
payout_freq,what is the payout frequency?
payout_freq,what payout frequency do I receive
payout_freq,the frequency of my payouts
payout_freq,when will I get paid after I claim
payout_freq,after claiming when will I get paid
payout_freq,when would I get my payment
payout_freq,when will I get paid by the insurance
payout_freq,when will my plans pay me
payout_freq,"after I claim, when will I get paid"
payout_freq,"after claiming, when will I be getting paid"
payout_freq,payout freq where to check for it?
payout_freq,I want to know what is the payout frequency I will be receiving
payout_freq,where can I find the information for the payout frequency?
payout_freq,when wil I get paid after claiming
payout_freq,when would I get paid from the insurance
payout_freq,when is the insurance going to pay me
payout_freq,what insurance payout frequency are you paying me
payout_freq,frequency of the payouts that I have
payout_freq,frequency of pay outs that is paying me
payout_freq,frequency of my pay out
payout_freq,times of payout paying me
payout_freq,times of the payout
payout_freq,number of times insurance paying me
payout_freq,times of the insurance plan paying me in a year
payout_freq,the number of times your insurance paying me
payout_freq,the number of times the insurance is paying me
payout_freq,the number of times insurance will pay me
payout_freq,the number of times insurance is paying me
payout_freq,the number of times the payout pay me
payout_freq,the no of times I get the payout
payout_freq,number of times payout is given to me
payout_freq,the payout freq is how one
payout_freq,how many times a year I received this payout
payout_freq,this insurance payout is what
payout_freq,how many times I can get my payout
payout_freq,getting my psyout how many times
payout_freq,per month or yearly payout
payout_freq,no of times payout give to me
payout_freq,times of payout in a year
coverage_term,the insurance going to cover me until when
coverage_term,my plans cover me until when
coverage_term,what is the term that my insurance cover me
coverage_term,how long is my insurance cover me for
coverage_term,covering me for how long
coverage_term,what is the cover length
coverage_term,how long the covering
coverage_term,when my protection end
coverage_term,the last date that my insurance is going to protect me
coverage_term,what is the start date that I can get covered
coverage_term,wat is the date of my insurance covering me
coverage_term,what is my insurance coverage term
coverage_term,coerage term is what
coverage_term,qhat is my coverage term
coverage_term,coverage term is qhat
coverage_term,hello what is the coverge term
coverage_term,hi what my cover term
coverage_term,hey how long the cover term
coverage_term,covering term is how long
coverage_term,how long does my insurance cover me
coverage_term,how long is my plan covering me
coverage_term,duration of my plans covering me
coverage_term,what is the duration that my product can cover me
coverage_term,hi bot how r u how long am I covered for
coverage_term,how long am I going to be covered for bot?
coverage_term,what is the duration that insurance is covering me
coverage_term,for how long can the insurance protect me
